ID,MEMBER_ID,PROVIDER_NAME,PHYSPENTRIGHTTIME__C,HOWLIKELYCONTACTDR__C,LEVELTRUSTPHYSICIAN__C,sentiment_label,HOWLIKELYCONTACTDR_encoded,PHYSPENTRIGHTTIME__encoded,LEVELTRUSTPHYSICIAN_encoded,sentiment_label_encoded,MembertoProvider_Score
a2p4w000002O6w5AAC,0011U0000125JFQQA2,Heather Thomas,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O5FoAAK,0011U00000ritBvQAI,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O3wCAAS,0011U00000ritBvQAI,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002OCWwAAO,0011U00000rk4B7QAI,Jill Lascoe,Disagree,Unlikely,Satisfied,Positive,20,20,80,100,5.5
a2p4w000002JsO1AAK,0013g00000BlOQfAAN,Tammera Park,Strongly agree,Very Unlikely,Very Satisfied,Neutral,0,100,100,50,6.25
a2p3g000000pzZ6AAI,0011U000019xuK8QAI,Genni Lehnert-Beers,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p4w000002O2ZvAAK,0014w000031qfxDAAQ,Melita Marcial-Schuster,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O710AAC,0011U00000rk4NkQAI,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O7dxAAC,0013g000006NrKMAA0,Joseph Orzechowski,Strongly agree,Very Likely,Satisfied,Negative,100,100,80,0,7.0
a2p4w000002OC0WAAW,0013g000006NrKMAA0,Joseph Orzechowski,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002OCQyAAO,0014w00003GEBGmAAP,Marva Thomas,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000qXVVAA2,0013g00000CyOHtAAN,Valerie Linzey,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002KKqSAAW,0011U00000rk2ryQAA,Brian Sammon,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p4w000002Nyv4AAC,0011U00000rjspLQAQ,Peggy Katsma,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p4w000002O39eAAC,0011U00000rjJcgQAE,Genni Lehnert-Beers,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O1qHAAS,0014w000031rIv4AAE,Madeline Jewell,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O6kJAAS,0011U00000riytPQAQ,Kelly O'Malia,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002KKWcAAO,0011U00000zPYgEQAW,Lauren DeAlleaume,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p4w000002OBcPAAW,0014w00003GEfsiAAD,Sandra Kay,Strongly disagree,Very Unlikely,Very Dissatisfied,Neutral,0,0,0,50,1.25
