ID,MEMBER_ID,PROVIDER_NAME,PHYSPENTRIGHTTIME__C,HOWLIKELYCONTACTDR__C,LEVELTRUSTPHYSICIAN__C,sentiment_label,HOWLIKELYCONTACTDR_encoded,PHYSPENTRIGHTTIME__encoded,LEVELTRUSTPHYSICIAN_encoded,sentiment_label_encoded,MembertoProvider_Score
a2p1U000000RoK0QAK,0011U00000riNolQAE,Troy Curtis,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000LAe2AAG,0011U00000riuzfQAA,Care Team- Ohio,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p3g000000LAenAAG,0011U00000rieIYQAY,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000l8FEQAY,0011U00000rjZH9QAM,Kathleen Hathaway,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rv9VQAS,0011U00000rjesHQAQ,Karen Lewis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoNbQAK,0011U00000ri84ZQAQ,Joseph Orzechowski,Strongly agree,Very Unlikely,Very Satisfied,Positive,0,100,100,100,7.5
a2p1U000000RvKnQAK,0011U00000rjGseQAE,Michael Smolak,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoDWQA0,0011U00000riaUNQAY,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pHyRAAU,0011U00000riaUNQAY,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Ro7KQAS,0011U00000rjF6eQAE,Steven Gray,Strongly disagree,Very Unlikely,Very Satisfied,Negative,0,0,100,0,2.5
a2p3g000000pnkRAAQ,0011U00000rijxIQAQ,Kristin Everett,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000l8DoQAI,0011U00000sgxU0QAI,Stephen Wills,Agree,Very Likely,Very Satisfied,Positive,100,80,100,100,9.5
a2p3g000000pg9nAAA,0011U00000t40KuQAI,David McCay,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000LAZtAAO,0011U00000rhz7AQAQ,David Smith,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoFZQA0,0011U00000rjUzzQAE,Katie O'Grady,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvD9QAK,0011U00000rhvnGQAQ,Melissa Banzon,Agree,Likely,Satisfied,Neutral,80,80,80,50,7.25
a2p1U000000Rvi6QAC,0011U00000rjFL7QAM,John Reiskytl,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000L0RrAAK,0011U00000riHDHQA2,Sandra Sarmiento,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p1U000000RoRHQA0,0011U00000ri4oyQAA,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoLcQAK,0011U00000rjF6eQAE,Steven Gray,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000owOoAAI,0011U00000rk0h5QAA,Tammera Park,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoRvQAK,0011U00000riPVoQAM,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000oRlfAAE,0011U00000rjpFpQAI,Care Team- Ohio,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000RpKnQAK,0011U00000rjSbbQAE,Stephen Licetti,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoGYQA0,0011U00000rjxhBQAQ,Katie O'Grady,Strongly agree,Somewhat Likely,Very Satisfied,Negative,60,100,100,0,6.5
a2p3g000000pniBAAQ,0011U00000rjcJ3QAI,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvYfQAK,0011U00000ri6NyQAI,Yuri Lee,Agree,Likely,Very Satisfied,Neutral,80,80,100,50,7.75
a2p1U000000RpLkQAK,0011U00000rjpXEQAY,Undetermined Physician,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rot5QAC,0011U00000rk4ksQAA,Kelli Peiffer,No Response,Very Unlikely,Neutral,Negative,0,40,60,0,2.5
a2p1U000000RvcwQAC,0011U00000rk45RQAQ,Yuri Lee,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Ro5gQAC,0011U00000ri0GGQAY,Melissa Banzon,Strongly agree,Likely,Very Satisfied,Negative,80,100,100,0,7.0
a2p1U000000RoKlQAK,0011U00000rjnPZQAY,Michael Gorman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzJ8AAK,0011U00000rjAk1QAE,Kristin Everett,Strongly agree,Unlikely,Very Satisfied,Negative,20,100,100,0,5.5
a2p1U000000RoSBQA0,0011U00000rhqnDQAQ,Deryl Francis,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RvfgQAC,0011U00000rhqqhQAA,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000Kyq1AAC,0011U00000rjfksQAA,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pXz6AAE,0011U00000rj0e5QAA,Heather Thomas,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzB8AAK,0011U00000riMqxQAE,Cari Bollweg,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pM4OAAU,0013g000003p3hcAAA,Jenny Chien,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p1U000000RvMkQAK,0011U00000rj7oaQAA,Sandra Sarmiento,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzKkAAK,0011U00000rjZ0dQAE,Kristin Everett,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pvS6AAI,0011U0000125IubQAE,Jennifer Watson,Agree,Very Likely,Very Satisfied,Neutral,100,80,100,50,8.25
a2p1U000000RvbUQAS,0011U00000rjM7YQAU,Steven Gray,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000L1PRAA0,0011U00000rjtsuQAA,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p1U000000l8EUQAY,0011U00000rkAXPQA2,Evelyn Hemmingsen,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rp2UQAS,0011U00000rk5LCQAY,Kevin Izard,Strongly agree,Very Likely,Satisfied,Neutral,100,100,80,50,8.25
a2p1U000000Rpt2QAC,0011U00000rjZJwQAM,Kristin Everett,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RpxfQAC,0011U00000riNWZQA2,Evelyn Hemmingsen,No Response,No Response,No Response,Neutral,40,40,40,50,4.25
a2p3g000000pisuAAA,0011U00000riGJuQAM,Stephen Wills,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Roc8QAC,0011U00000rimkmQAA,Melissa Banzon,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoxWQAS,0011U00000rjRAnQAM,Marci Kessen,Strongly agree,Very Unlikely,Very Satisfied,Negative,0,100,100,0,5.0
a2p1U000000RoViQAK,0011U00000riWdqQAE,Yuri Lee,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoVAQA0,0011U00000rjR96QAE,David McCay,Strongly agree,Very Likely,No Response,Positive,100,100,40,100,8.5
a2p3g000000LAdTAAW,0011U00000rk1MyQAI,Kelli Peiffer,Strongly agree,Somewhat Likely,Very Satisfied,Positive,60,100,100,100,9.0
a2p1U000000RqAsQAK,0011U00000rjsnQQAQ,Lauren DeAlleaume,Agree,Unlikely,Satisfied,Positive,20,80,80,100,7.0
a2p3g000000LAePAAW,0011U000013jkAfQAI,Greta Snow,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoG7QAK,0011U00000sh1MZQAY,Kelly DeMeyere-Coursey,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoXZQA0,0011U00000rhzluQAA,Joseph Orzechowski,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000Kyn4AAC,0011U00000rjpFNQAY,Greta Snow,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RqDYQA0,0011U00000rjpTiQAI,Gavin Cochran,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000l8JwQAI,0011U00000rjcTVQAY,Paula Frantz,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoJtQAK,0011U00000rij9jQAA,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000KzprAAC,0011U00000rjbv6QAA,David Malfese,Disagree,Very Unlikely,Very Dissatisfied,Negative,0,20,0,0,0.5
a2p1U000000RqA1QAK,0011U00000riwBbQAI,Megan Montecalvo,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RohQQAS,0011U00000rjmRhQAI,David McCay,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000RpwIQAS,0011U00000ri5EDQAY,Undetermined Physician,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000LActAAG,0011U00000rkBY5QAM,Katie O'Grady,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoyuQAC,0011U00000rkBY5QAM,Katie O'Grady,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rq0yQAC,0011U00000rjgM9QAI,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoolQAC,0011U00000rhxuIQAQ,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000LAd4AAG,0011U000011EpFJQA0,Jessica Smith,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rp7CQAS,0011U00000rhyp9QAA,Yuri Lee,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000pLyVAAU,0011U00000rjHHEQA2,Kathleen Hathaway,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rp4cQAC,0011U00000rjLngQAE,John Reiskytl,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KyuoAAC,0011U00000rja0jQAA,Yuri Lee,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000pWEYAA2,0011U00000riFIlQAM,David Malfese,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000RpIMQA0,0011U00000rj1C2QAI,Troy Curtis,No Response,Very Likely,Very Satisfied,Neutral,100,40,100,50,7.25
a2p1U000000RqDsQAK,0011U00000rjopmQAA,Ameena Jiwani,Strongly disagree,Very Likely,Satisfied,Neutral,100,0,80,50,5.75
a2p1U000000RoMpQAK,0011U00000rhvoFQAQ,Lauren DeAlleaume,Agree,Very Likely,Very Satisfied,Positive,100,80,100,100,9.5
a2p3g000000pN1BAAU,0011U00000riWJsQAM,David Smith,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rpw6QAC,0011U00000rijNpQAI,Melissa Banzon,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p1U000000RoFVQA0,0011U00000riXesQAE,David McCay,Strongly agree,Somewhat Likely,Very Satisfied,Neutral,60,100,100,50,7.75
a2p3g000000ozCGAAY,0011U00000sgxpUQAQ,Anthony Glaser,Strongly agree,Very Likely,Satisfied,Neutral,100,100,80,50,8.25
a2p1U000000RoQZQA0,0011U00000rihbkQAA,Michael Smolak,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000L0SEAA0,0011U00001Be686QAB,Kelli Peiffer,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p1U000000Rpy2QAC,0011U00000rjPNyQAM,Matthew Szvetecz,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000Rq95QAC,0011U00000riWOCQA2,Scott Davidson,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p3g000000owOkAAI,0011U00000ri32eQAA,Jeffrey Peterson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000owM5AAI,0011U00000rhwPFQAY,Megan Montecalvo,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p3g000000Kyo0AAC,0011U000010pP77QAE,Jennifer Poptic,Agree,Likely,Satisfied,Neutral,80,80,80,50,7.25
a2p3g000000owLRAAY,0011U000010pP77QAE,Jennifer Poptic,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RojEQAS,0011U00000rjwb4QAA,Kristin Everett,Agree,Somewhat Likely,Satisfied,Positive,60,80,80,100,8.0
a2p3g000000KzsYAAS,0011U00000rj7sjQAA,Kevin Izard,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoVcQAK,0011U00000rhxrfQAA,Kevin Izard,Agree,Very Likely,Satisfied,Neutral,100,80,80,50,7.75
a2p1U000000RohxQAC,0011U00000rippJQAQ,Gavin Cochran,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p3g000000KzrLAAS,0011U00000rjPNrQAM,David McCay,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RpxxQAC,0011U00000rj9hLQAQ,Greta Snow,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000l8EVQAY,0011U00000rjhGRQAY,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rp79QAC,0011U00000ricdVQAQ,Stephen Wills,Strongly agree,Very Likely,Satisfied,Neutral,100,100,80,50,8.25
a2p1U000000Rq0JQAS,0011U00000riMYVQA2,Marci Kessen,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RqC4QAK,0011U00000rjN6KQAU,Amy Jo Friedman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rp9aQAC,0011U00000riwqFQAQ,David McCay,Agree,Likely,Satisfied,Positive,80,80,80,100,8.5
a2p1U000000RpymQAC,0011U00000riPXrQAM,David McCay,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p1U000000RpvIQAS,0011U00000ri8jyQAA,Emily Masterson,Agree,Very Likely,Very Satisfied,Neutral,100,80,100,50,8.25
a2p1U000000RogZQAS,0011U00000rjf8mQAA,Lauren DeAlleaume,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000l8BnQAI,0011U00000rjcbVQAQ,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000KzDHAA0,0011U00000riUaNQAU,Amy Jo Friedman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000oRk3AAE,0011U00000rjlAtQAI,Sean McBrearty,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rp11QAC,0011U00000rjTCRQA2,David McCay,Strongly agree,Somewhat Likely,Very Satisfied,Positive,60,100,100,100,9.0
a2p1U000000l8HKQAY,0011U00000riqQkQAI,Melissa Banzon,Agree,Very Likely,Neutral,Neutral,100,80,60,50,7.25
a2p1U000000l8EmQAI,0011U00000rjPx2QAE,Emily Masterson,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p3g000000Kzs8AAC,0011U00000ridW6QAI,Sonya Black,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RolWQAS,0011U00000rjwT5QAI,Troy Curtis,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p3g000000owLeAAI,0011U00000rj8TWQAY,David Malfese,Agree,Likely,Satisfied,Positive,80,80,80,100,8.5
a2p3g000000Kyv9AAC,0011U00000rhsaHQAQ,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pHsiAAE,0011U00000rj4sXQAQ,Lauren DeAlleaume,Strongly agree,Likely,Satisfied,Positive,80,100,80,100,9.0
a2p3g000000oeVtAAI,0011U00000rjyg3QAA,Kimberly Spencer,Strongly agree,No Response,Very Satisfied,Neutral,40,100,100,50,7.25
a2p3g000000KzvrAAC,0011U00000rk63xQAA,Peggy Katsma,Agree,Very Likely,Very Satisfied,Neutral,100,80,100,50,8.25
a2p3g000000KypnAAC,0011U00000riWj8QAE,David Malfese,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000oRZeAAM,0011U00000rjQpqQAE,Tammera Park,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p3g000000oRetAAE,0011U00000rhyp0QAA,John Reiskytl,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoVJQA0,0011U00000rjDl4QAE,Sonya Black,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000psaqAAA,0011U00000rhyAfQAI,Matthew Szvetecz,Agree,Very Likely,Very Satisfied,Neutral,100,80,100,50,8.25
a2p3g000000oRkwAAE,0013g000006tfnkAAA,Tammera Park,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000Kzw2AAC,0011U00000rii9JQAQ,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RvYpQAK,0011U00000rkCBRQA2,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rq8uQAC,0011U00000rkCBRQA2,David McCay,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000KzMGAA0,0011U00000rioveQAA,David McCay,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rpx5QAC,0011U00000rjV3bQAE,Jan Hester,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000oRkmAAE,0011U00000riaUUQAY,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RovbQAC,0011U00000ri4GJQAY,,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p1U000000RoOkQAK,0011U00000rk1NFQAY,Care Team- Ohio,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000phzpAAA,0011U0000125KCkQAM,Jenny Chien,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvPYQA0,0011U00000rjB56QAE,Brian Sammon,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000owNOAAY,0011U00000rjwhSQAQ,Jennifer Poptic,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000L1PhAAK,0011U0000125JoEQAU,Jennifer Watson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RpM2QAK,0011U00000rhvkeQAA,Paula Frantz,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RpJJQA0,0011U00000rjlFCQAY,Scott Zeller,Strongly agree,No Response,Very Satisfied,Neutral,40,100,100,50,7.25
a2p1U000000RvGMQA0,0011U00000rk0VvQAI,Kristin Everett,Neither agree or disagree,Very Unlikely,Neutral,Positive,0,60,60,100,5.5
a2p1U000000RopQQAS,0011U00000rjYMpQAM,Megan Montecalvo,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000puSFAAY,0011U00000rj75aQAA,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000KzJ0AAK,0011U00000rj36zQAA,Yuri Lee,Strongly agree,Likely,Very Satisfied,Negative,80,100,100,0,7.0
a2p3g000000oRqLAAU,0011U00000rj36zQAA,Yuri Lee,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000L0RkAAK,0011U00000ri0vOQAQ,Troy Curtis,Agree,Likely,Very Satisfied,Neutral,80,80,100,50,7.75
a2p1U000000Rq7KQAS,0011U00000riuPkQAI,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rq4jQAC,0011U00000ri2UkQAI,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzDRAA0,0011U00000ri2UkQAI,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000LAcfAAG,0011U00000rjaYZQAY,Kelly O'Malia,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Ro8jQAC,0011U00000ri7EiQAI,Katie O'Grady,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p3g000000KypGAAS,0011U00000rjUC3QAM,Stephen Wills,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000owNWAAY,0011U00000zRVLJQA4,Sonya Black,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RojdQAC,0011U00000rjdx0QAA,Peggy Katsma,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RpAMQA0,0011U00000rivLFQAY,Jeffrey Peterson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RqGWQA0,0011U00000rj61CQAQ,Anthony Glaser,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzKxAAK,0011U00000rjhLeQAI,Katie O'Grady,Agree,Very Likely,Satisfied,Positive,100,80,80,100,9.0
a2p1U000000RprNQAS,0011U00000rjsyeQAA,Meaghann Bernardy,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p1U000000RoFIQA0,0011U00000rjhf0QAA,Jennifer Poptic,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoG9QAK,0011U00000rk90pQAA,John Reiskytl,No Response,No Response,No Response,Neutral,40,40,40,50,4.25
a2p3g000000KymHAAS,0011U00000rhzRoQAI,Paula Frantz,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KysnAAC,0011U00000rhxruQAA,Kathleen Hathaway,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RomTQAS,0011U00000rk8ObQAI,Kimberly Spencer,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p1U000000Ro8JQAS,0011U00000rk8ObQAI,Kimberly Spencer,Strongly agree,Likely,Very Satisfied,Negative,80,100,100,0,7.0
a2p3g000000oRm0AAE,0011U00000rkB89QAE,Michael Gorman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rpz0QAC,0011U00000sgyvxQAA,Joseph Orzechowski,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RozwQAC,0011U00000rkAqAQAU,Michael Gorman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KympAAC,0011U00000rjYDJQA2,Kimberly Spencer,Strongly agree,Very Likely,Satisfied,Neutral,100,100,80,50,8.25
a2p1U000000RoH2QAK,0011U00000rjYDJQA2,Kimberly Spencer,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p3g000000oeYFAAY,0011U00000riAyUQAU,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000l8KPQAY,0011U00000riUXiQAM,Anthony Glaser,Agree,Likely,Very Satisfied,Neutral,80,80,100,50,7.75
a2p1U000000RoYuQAK,0011U00000rhsaBQAQ,David McCay,Strongly agree,Likely,No Response,Positive,80,100,40,100,8.0
a2p3g000000KzEhAAK,0011U00000riyXTQAY,Jennifer Poptic,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RpAqQAK,0011U00000riyXTQAY,Jennifer Poptic,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvKiQAK,0011U00000rhv8oQAA,Katie O'Grady,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RooQQAS,0011U00000rjunXQAQ,Megan Montecalvo,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000Kzt9AAC,0011U00000riui0QAA,David Smith,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoTlQAK,0011U00000rjPH8QAM,Lauren DeAlleaume,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p3g000000Kzv2AAC,0011U00000rjPH8QAM,Lauren DeAlleaume,Agree,Very Likely,Very Satisfied,Positive,100,80,100,100,9.5
a2p1U000000Rq79QAC,0011U00000ri4agQAA,Joan Song-Nichols,Strongly agree,Unlikely,Neutral,Positive,20,100,60,100,7.0
a2p3g000000pfeBAAQ,0011U00000rj2QYQAY,Steven Gray,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rp4yQAC,0011U00000rix5fQAA,Jeffrey Peterson,Agree,Somewhat Likely,Satisfied,Negative,60,80,80,0,5.5
a2p1U000000RvhNQAS,0011U00000riSzrQAE,John Reiskytl,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p1U000000RoCZQA0,0011U00000ridSoQAI,Paula Frantz,Strongly agree,Likely,No Response,Positive,80,100,40,100,8.0
a2p3g000000oeWVAAY,0011U00000riTsGQAU,Tiffany Friesen,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KyvCAAS,0011U00000riTw7QAE,Megan Montecalvo,Agree,Very Likely,Satisfied,Negative,100,80,80,0,6.5
a2p1U000000Rq8DQAS,0011U00000rijKkQAI,Joan Song-Nichols,Strongly agree,Likely,Satisfied,Negative,80,100,80,0,6.5
a2p3g000000oeVgAAI,0011U00000ri32hQAA,Troy Curtis,No Response,No Response,No Response,Neutral,40,40,40,50,4.25
a2p1U000000RorrQAC,0011U00000ri32hQAA,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RolAQAS,0011U00000ri32hQAA,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
