zip,Y,X,STATE_ZIP,REGION_ZIP,
1026,42.40046,-72.849579,MA,Northeast,
1027,42.272337,-72.699323,MA,Northeast,
1028,42.068418,-72.504285,MA,Northeast,
1029,42.159812,-73.043385,MA,Northeast,
1030,42.072375,-72.675163,MA,Northeast,
1031,42.31217,-72.202543,MA,Northeast,
1032,42.441093,-72.805942,MA,Northeast,
1033,42.256411,-72.519474,MA,Northeast,
1034,42.073281,-72.896559,MA,Northeast,
1035,42.359966,-72.577472,MA,Northeast,
1036,42.062919,-72.430251,MA,Northeast,
1037,42.349404,-72.20081,MA,Northeast,
1038,42.381499,-72.607454,MA,Northeast,
1039,42.379586,-72.696757,MA,Northeast,
1040,42.204025,-72.630051,MA,Northeast,
1041,42.207463,-72.611418,MA,Northeast,
1050,42.272328,-72.865189,MA,Northeast,
1053,42.354408,-72.701457,MA,Northeast,
1054,42.474743,-72.482496,MA,Northeast,
1056,42.171237,-72.472507,MA,Northeast,
1057,42.094023,-72.323969,MA,Northeast,
1059,42.413287,-72.530513,MA,Northeast,
1060,42.324748,-72.655876,MA,Northeast,
1061,42.323341,-72.690352,MA,Northeast,
1062,42.331578,-72.692571,MA,Northeast,
1063,42.319077,-72.644431,MA,Northeast,
1066,42.410613,-72.625559,MA,Northeast,
1068,42.346443,-72.049242,MA,Northeast,
1069,42.165487,-72.3144,MA,Northeast,
1070,42.53684,-72.933103,MA,Northeast,
1071,42.171278,-72.86313,MA,Northeast,
1072,42.467788,-72.42989,MA,Northeast,
1073,42.225636,-72.721743,MA,Northeast,
1074,42.38295,-72.100531,MA,Northeast,
1075,42.235983,-72.582802,MA,Northeast,
1077,42.053564,-72.771922,MA,Northeast,
1079,42.1889,-72.329835,MA,Northeast,
1080,42.181538,-72.372116,MA,Northeast,
1081,42.061203,-72.22759,MA,Northeast,
1082,42.262671,-72.265357,MA,Northeast,
1083,42.212656,-72.194116,MA,Northeast,
1084,42.408674,-72.889157,MA,Northeast,
1085,42.131915,-72.749491,MA,Northeast,
1086,42.14018,-72.756066,MA,Northeast,
1088,42.386547,-72.639767,MA,Northeast,
1089,42.117059,-72.639407,MA,Northeast,
1090,42.12128,-72.654857,MA,Northeast,
1092,42.207416,-72.233988,MA,Northeast,
1093,42.435682,-72.648379,MA,Northeast,
1094,42.349508,-72.140099,MA,Northeast,
1095,42.120823,-72.44327,MA,Northeast,
1096,42.399296,-72.749011,MA,Northeast,
1097,42.160733,-72.839797,MA,Northeast,
1098,42.307673,-72.878084,MA,Northeast,
1101,42.099922,-72.589584,MA,Northeast,
1102,42.116054,-72.53858,MA,Northeast,
1103,42.102044,-72.587143,MA,Northeast,
1104,42.128134,-72.571488,MA,Northeast,
1105,42.101072,-72.579177,MA,Northeast,
1106,42.052405,-72.567774,MA,Northeast,
1107,42.122891,-72.607189,MA,Northeast,
1108,42.082083,-72.554368,MA,Northeast,
1109,42.118736,-72.548305,MA,Northeast,
1111,42.117977,-72.547899,MA,Northeast,
1114,42.102881,-72.592746,MA,Northeast,
1115,42.104032,-72.591791,MA,Northeast,
1116,42.045767,-72.570785,MA,Northeast,
1118,42.093934,-72.527899,MA,Northeast,
1119,42.122853,-72.506417,MA,Northeast,
1128,42.094006,-72.49483,MA,Northeast,
1129,42.122932,-72.486989,MA,Northeast,
1133,42.106349,-72.595312,MA,Northeast,
1138,42.088597,-72.561028,MA,Northeast,
1139,42.116316,-72.546932,MA,Northeast,
1144,42.101625,-72.594817,MA,Northeast,
1151,42.151001,-72.506454,MA,Northeast,
1152,42.152789,-72.511258,MA,Northeast,
1199,42.119147,-72.603412,MA,Northeast,
1201,42.455451,-73.249993,MA,Northeast,
1202,42.457889,-73.322048,MA,Northeast,
1203,42.453189,-73.262785,MA,Northeast,
1220,42.619977,-73.12078,MA,Northeast,
1222,42.056401,-73.318783,MA,Northeast,
1223,42.381306,-73.143709,MA,Northeast,
1224,42.489291,-73.195563,MA,Northeast,
1225,42.555166,-73.156002,MA,Northeast,
1226,42.469716,-73.162714,MA,Northeast,
1227,42.472396,-73.162019,MA,Northeast,
1229,42.286122,-73.346812,MA,Northeast,
1230,42.204884,-73.360206,MA,Northeast,
1235,42.433437,-73.106662,MA,Northeast,
1236,42.253363,-73.367521,MA,Northeast,
1237,42.514353,-73.242079,MA,Northeast,
1238,42.312024,-73.247738,MA,Northeast,
1240,42.363117,-73.273909,MA,Northeast,
1242,42.330029,-73.250299,MA,Northeast,
1243,42.346522,-73.008342,MA,Northeast,
1244,42.114506,-73.267171,MA,Northeast,
1245,42.205175,-73.228055,MA,Northeast,
1247,42.694551,-73.113196,MA,Northeast,
1252,42.196701,-73.436284,MA,Northeast,
1253,42.184701,-73.098513,MA,Northeast,
